file_name,MBTI
istj3_face.jpg,istj
istj6_face.jpg,istj
istj7_face.jpg,istj
istj8_face.jpg,istj
istj9_face.jpg,istj
istj10_face.jpg,istj
istj12_face.jpg,istj
istj13_face.jpg,istj
istj14_face.jpg,istj
istj18_face.jpg,istj
istj19_face.jpg,istj
istj21_face.jpg,istj
istj24_face.jpg,istj
istj26_face.jpg,istj
istj28_face.jpg,istj
istj29_face.jpg,istj
istj31_face.jpg,istj
istj32_face.jpg,istj
istj35_face.jpg,istj
istj36_face.jpg,istj
istj37_face.jpg,istj
istj38_face.jpg,istj
istj39_face.jpg,istj
istj40_face.jpg,istj
istj43_face.jpg,istj
istj45_face.jpg,istj
istj46_face.jpg,istj
istj47_face.jpg,istj
istj48_face.jpg,istj
istj50_face.jpg,istj
istj51_face.jpg,istj
istj52_face.jpg,istj
istj55_face.jpg,istj
istj57_face.jpg,istj
istj58_face.jpg,istj
istj60_face.jpg,istj
istj61_face.jpg,istj
istj63_face.jpg,istj
istj66_face.jpg,istj
istj67_face.jpg,istj
istj68_face.jpg,istj
istj69_face.jpg,istj
istj70_face.jpg,istj
istj71_face.jpg,istj
istj72_face.jpg,istj
istj73_face.jpg,istj
istj75_face.jpg,istj
istj77_face.jpg,istj
istj78_face.jpg,istj
istj79_face.jpg,istj
istj81_face.jpg,istj
istj85_face.jpg,istj
istj86_face.jpg,istj
istj89_face.jpg,istj
istj91_face.jpg,istj
istj93_face.jpg,istj
istj94_face.jpg,istj
istj95_face.jpg,istj
istj97_face.jpg,istj
istj98_face.jpg,istj
istj99_face.jpg,istj
istj100_face.jpg,istj
istj101_face.jpg,istj
istj102_face.jpg,istj
istj103_face.jpg,istj
istj104_face.jpg,istj
istj105_face.jpg,istj
istj108_face.jpg,istj
istj109_face.jpg,istj
istj111_face.jpg,istj
istj113_face.jpg,istj
istj114_face.jpg,istj
