file_name,MBTI
entj0_face.jpg,entj
entj1_face.jpg,entj
entj2_face.jpg,entj
entj3_face.jpg,entj
entj4_face.jpg,entj
entj5_face.jpg,entj
entj6_face.jpg,entj
entj9_face.jpg,entj
entj10_face.jpg,entj
entj11_face.jpg,entj
entj12_face.jpg,entj
entj14_face.jpg,entj
entj17_face.jpg,entj
entj18_face.jpg,entj
entj19_face.jpg,entj
entj20_face.jpg,entj
entj21_face.jpg,entj
entj24_face.jpg,entj
entj25_face.jpg,entj
entj26_face.jpg,entj
entj27_face.jpg,entj
entj28_face.jpg,entj
entj29_face.jpg,entj
entj30_face.jpg,entj
entj31_face.jpg,entj
entj33_face.jpg,entj
entj34_face.jpg,entj
entj35_face.jpg,entj
entj36_face.jpg,entj
entj37_face.jpg,entj
entj38_face.jpg,entj
entj39_face.jpg,entj
entj40_face.jpg,entj
entj42_face.jpg,entj
entj46_face.jpg,entj
entj47_face.jpg,entj
entj48_face.jpg,entj
entj50_face.jpg,entj
entj51_face.jpg,entj
entj52_face.jpg,entj
entj57_face.jpg,entj
entj58_face.jpg,entj
entj60_face.jpg,entj
entj62_face.jpg,entj
entj63_face.jpg,entj
entj67_face.jpg,entj
entj68_face.jpg,entj
entj70_face.jpg,entj
entj72_face.jpg,entj
entj73_face.jpg,entj
entj74_face.jpg,entj
entj75_face.jpg,entj
entj78_face.jpg,entj
entj79_face.jpg,entj
entj81_face.jpg,entj
entj82_face.jpg,entj
entj84_face.jpg,entj
entj85_face.jpg,entj
entj86_face.jpg,entj
entj87_face.jpg,entj
entj88_face.jpg,entj
entj90_face.jpg,entj
entj93_face.jpg,entj
entj94_face.jpg,entj
entj95_face.jpg,entj
entj97_face.jpg,entj
entj98_face.jpg,entj
entj99_face.jpg,entj
entj100_face.jpg,entj
entj101_face.jpg,entj
entj103_face.jpg,entj
entj105_face.jpg,entj
entj106_face.jpg,entj
entj109_face.jpg,entj
entj110_face.jpg,entj
entj111_face.jpg,entj
entj112_face.jpg,entj
entj113_face.jpg,entj
entj114_face.jpg,entj
entj119_face.jpg,entj
entj120_face.jpg,entj
entj121_face.jpg,entj
entj122_face.jpg,entj
entj123_face.jpg,entj
entj124_face.jpg,entj
entj125_face.jpg,entj
entj126_face.jpg,entj
entj128_face.jpg,entj
entj129_face.jpg,entj
